gene,drug,n,rho,p,pathway,target
S100A9,Veliparib,1370,0.07186126534435809,0.007794356932552705,Genome integrity,"PARP1, PARP2"
CDKN2A,AZD7762,2049,0.05853990598197513,0.008036878681447363,Cell cycle,"CHEK1, CHEK2"
KRT6A,Dinaciclib,650,0.10372260768580986,0.008133686568755292,Cell cycle,"CDK1, CDK2, CDK5, CDK9"
PITX1,Cisplatin,1931,0.05981426264920367,0.008561648103804559,DNA replication,DNA crosslinker
PITX1,Ribociclib,698,0.0992740098761168,0.008675752565571316,Cell cycle,"CDK4, CDK6"
CDC20,Ribociclib,698,0.09832949578846342,0.00933649561590112,Cell cycle,"CDK4, CDK6"
SERPINB5,Bleomycin,1179,0.07538934011015913,0.00961010988284611,DNA replication,dsDNA break induction
S100A8,Seliciclib,250,0.16307682872401771,0.009798448671837753,Cell cycle,"CDK2, CDK7, CDK9"
KRT6A,Topotecan,545,0.11014869277400058,0.01007112606647006,DNA replication,TOP1
PITX1,VE-822,651,0.10046334922799295,0.010321807221670781,Genome integrity,ATR
KRT6A,VE821,691,0.09720792242777172,0.010566304650070727,Genome integrity,ATR
KRT6A,Capivasertib,672,0.09801373237196195,0.011015725458571903,PI3K/MTOR signaling,AKT
PITX1,AZD7762,2049,0.05594814690004303,0.011309713959778393,Cell cycle,"CHEK1, CHEK2"
KRT6A,Temsirolimus,1342,0.06909701908155423,0.011343959280193192,PI3K/MTOR signaling,MTOR
KRT6A,Buparlisib,698,0.09505830628097216,0.011984463902228562,PI3K/MTOR signaling,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"
PITX1,Talazoparib,1353,0.06828214086125116,0.01199663906737179,Genome integrity,"PARP1, PARP2"
S100A9,Pictilisib,2005,-0.056088997248512934,0.012007596356228677,PI3K/MTOR signaling,PI3K (class 1)
S100A8,Pictilisib,2005,-0.05599589937403907,0.012150428241158475,PI3K/MTOR signaling,PI3K (class 1)
PITX1,Voxtalisib,674,0.09630232163392528,0.012372823285512702,PI3K/MTOR signaling,"PI3K (class 1), DNAPK, MTOR"
CDC20,AZ20,673,-0.0963148890215025,0.012426576629269857,Genome integrity,ATR
CDKN2A,Pictilisib,2005,0.05420738699780864,0.015202128298946151,PI3K/MTOR signaling,PI3K (class 1)
S100A9,MK-1775,705,0.08968963353090058,0.01721885936879475,Cell cycle,"WEE1, PLK1"
KRT6A,Dactolisib,1367,0.06385698349738952,0.018214321891990976,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
KRT6A,Idelalisib,671,0.08935068824497024,0.020622419904214397,PI3K/MTOR signaling,PI3Kdelta
KRT6A,Seliciclib,250,0.14538442456862366,0.02147997360525061,Cell cycle,"CDK2, CDK7, CDK9"
CDKN2A,Oxaliplatin,1250,0.064618819189019,0.022329094009770952,DNA replication,DNA alkylating agent
S100A8,Ipatasertib,698,-0.08645542925768991,0.02235330990378407,PI3K/MTOR signaling,"AKT1, AKT, AKT3"
PITX1,Pilaralisib,674,0.08772322230795863,0.022750889729867548,PI3K/MTOR signaling,PI3K
CDKN2A,Ribociclib,698,0.08616422203435946,0.022810892149423785,Cell cycle,"CDK4, CDK6"
CDKN2A,5-Fluorouracil,1375,0.06131931179723314,0.022974830483838308,Other,Antimetabolite (DNA & RNA)
PITX1,Ipatasertib,698,-0.08596324994789686,0.02313140159739535,PI3K/MTOR signaling,"AKT1, AKT, AKT3"
KRT5,Veliparib,1370,0.06127022174088758,0.023336102494888822,Genome integrity,"PARP1, PARP2"
CDKN2A,AZD5438,1215,0.06490436334237835,0.023671541655113343,Cell cycle,CDK2
CDKN2A,Cisplatin,1931,0.051358114096269405,0.02401650426308305,DNA replication,DNA crosslinker
CDC20,Dactolisib,1367,-0.06082710815149013,0.024513530732990053,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
KRT6A,Rapamycin,921,0.07357810567880754,0.025552788022787116,PI3K/MTOR signaling,MTORC1
SERPINB5,Ipatasertib,698,0.08447108466525768,0.025635477189316032,PI3K/MTOR signaling,"AKT1, AKT, AKT3"
KRT5,MK-1775,705,0.08358123488804448,0.026474392062340948,Cell cycle,"WEE1, PLK1"
S100A9,Seliciclib,250,0.13841616126187126,0.02866035544581723,Cell cycle,"CDK2, CDK7, CDK9"
CDC20,Palbociclib,1346,0.05922668117507895,0.029796152729154545,Cell cycle,"CDK4, CDK6"
CDC20,5-Fluorouracil,1375,0.05826394554717452,0.030745168240549205,Other,Antimetabolite (DNA & RNA)
KRT6A,Pictilisib,2005,-0.0475369922702776,0.03329974708713127,PI3K/MTOR signaling,PI3K (class 1)
PITX1,Idelalisib,671,0.0819352485076452,0.03383478510372095,PI3K/MTOR signaling,PI3Kdelta
SERPINB5,Docetaxel,1893,0.04850081800812388,0.03485391202132762,Mitosis,Microtubule stabiliser
PITX1,Apitolisib,665,0.08081548863749115,0.03720338351638561,PI3K/MTOR signaling,"mTOR, PI3K"
KRT6A,MK-2206,1347,0.056276632046801445,0.0389082473794554,PI3K/MTOR signaling,"AKT1, AKT2"
KRT6A,AZ20,673,0.07872212808409511,0.04119108644158878,Genome integrity,ATR
PITX1,Topotecan,545,0.08731313509904681,0.041594130128449314,DNA replication,TOP1
S100A9,AZD6738,1368,0.0546699397336177,0.04320606396436853,Genome integrity,ATR
CDKN2A,AZD2014,1216,0.057202125003209106,0.04612060639257483,PI3K/MTOR signaling,"mTORC1, mTORC2"
KRT5,Olaparib,2032,0.04391828037384946,0.047762840934466026,Genome integrity,"PARP1, PARP2"
S100A9,GSK1059615,663,0.07668275997480634,0.04841940305481512,PI3K/MTOR signaling,PI3K
KRT6A,AZD7762,2049,0.043512665146468024,0.04891062518025717,Cell cycle,"CHEK1, CHEK2"
CDC20,Docetaxel,1893,-0.04525471082126148,0.04899007304695601,Mitosis,Microtubule stabiliser
PITX1,Pictilisib,2005,-0.043934858483276364,0.04918274336717361,PI3K/MTOR signaling,PI3K (class 1)
S100A9,Idelalisib,671,0.0754676463680003,0.050697530341010745,PI3K/MTOR signaling,PI3Kdelta
KRT5,Docetaxel,1893,-0.04435076181705502,0.05369174685703926,Mitosis,Microtubule stabiliser
CDKN2A,Capivasertib,672,0.07145445416372986,0.06413654616325082,PI3K/MTOR signaling,AKT
KRT5,Pictilisib,2005,-0.04101946239643606,0.0663036623874485,PI3K/MTOR signaling,PI3K (class 1)
SERPINB5,AT-7519,658,0.07153742801436153,0.06666822606751299,Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9"
KRT5,MK-2206,1347,0.04991239708527869,0.06705569441167747,PI3K/MTOR signaling,"AKT1, AKT2"
S100A9,Etoposide,651,0.07097829214911221,0.07032795650606193,DNA replication,TOP2
CDC20,AZD6738,1368,-0.04851321599042518,0.0728532020226419,Genome integrity,ATR
S100A8,Bleomycin,1179,0.051507539581284255,0.07707933633595374,DNA replication,dsDNA break induction
S100A8,Oxaliplatin,1250,0.04973414231625943,0.07879923964231764,DNA replication,DNA alkylating agent
S100A9,5-Fluorouracil,1375,0.04731945042694561,0.07942383166629818,Other,Antimetabolite (DNA & RNA)
PITX1,Veliparib,1370,0.046881375486435645,0.08280916733294491,Genome integrity,"PARP1, PARP2"
CDKN2A,Buparlisib,698,0.06556430539671428,0.08346126423896169,PI3K/MTOR signaling,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"
KRT5,Talazoparib,1353,0.04654270758014952,0.08701976660542451,Genome integrity,"PARP1, PARP2"
CDC20,Mitomycin-C,645,-0.06725607290286273,0.0878755909025607,DNA replication,DNA crosslinker
S100A8,Docetaxel,1893,-0.03904854772243642,0.08941833865532,Mitosis,Microtubule stabiliser
PITX1,Rucaparib,1363,0.04538290195281321,0.09397164475747247,Genome integrity,"PARP1, PARP2"
KRT5,Rucaparib,1363,0.044853680486401745,0.09787193650348681,Genome integrity,"PARP1, PARP2"
CDKN2A,PHA-793887,672,-0.06367111266530762,0.09911800482120722,Cell cycle,"CDK2, CDK7, CDK5"
S100A8,AZD7762,2049,0.036424618387243354,0.09928429892450699,Cell cycle,"CHEK1, CHEK2"
CDKN2A,Temsirolimus,1342,0.04484045688582119,0.10060038444594603,PI3K/MTOR signaling,MTOR
KRT6A,Vinorelbine,1348,0.04473386111835015,0.1006506895768807,Mitosis,Microtubule destabiliser
PITX1,Olaparib,2032,0.03635026474000634,0.10139670480330704,Genome integrity,"PARP1, PARP2"
KRT5,Cisplatin,1931,0.03707478271032122,0.10337918171118811,DNA replication,DNA crosslinker
S100A9,Pilaralisib,674,0.060993263984331005,0.11364702984665342,PI3K/MTOR signaling,PI3K
CDC20,Dinaciclib,650,0.06184284891535855,0.11521891057560413,Cell cycle,"CDK1, CDK2, CDK5, CDK9"
KRT5,Buparlisib,698,0.05962787910999218,0.11550428411469243,PI3K/MTOR signaling,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"
S100A8,Dactolisib,1367,0.04209926986347342,0.11975551705052846,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
S100A9,Capivasertib,672,0.05939689641385476,0.12399110186904314,PI3K/MTOR signaling,AKT
S100A9,VE-822,651,0.059897111227084306,0.12683791361275093,Genome integrity,ATR
PITX1,Paclitaxel,951,-0.04941912651862119,0.12777685243574732,Mitosis,Microtubule stabiliser
CDKN2A,Rucaparib,1363,0.04100329753180043,0.1302691946861353,Genome integrity,"PARP1, PARP2"
PITX1,Dactolisib,1367,-0.04042506971051418,0.13520751696663558,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
CDKN2A,Etoposide,651,0.057430470811847344,0.14327224891634183,DNA replication,TOP2
CDKN2A,Alpelisib,704,0.05364532105270232,0.15506521207316398,PI3K/MTOR signaling,PI3Kalpha
CDC20,MK-2206,1347,0.03866079378157785,0.15615516638036714,PI3K/MTOR signaling,"AKT1, AKT2"
S100A9,AZD5438,1215,0.0405283155726986,0.15800432014833554,Cell cycle,CDK2
KRT6A,Omipalisib,673,0.054465200344094224,0.15813535908075205,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
S100A9,Vinorelbine,1348,0.038291851621335554,0.1599912510684988,Mitosis,Microtubule destabiliser
S100A8,MK-1775,705,0.05236502202550055,0.16487130407512474,Cell cycle,"WEE1, PLK1"
KRT6A,Pilaralisib,674,0.05351814510638919,0.16518956056293332,PI3K/MTOR signaling,PI3K
KRT6A,Paclitaxel,951,0.04469084893042228,0.16849223802534585,Mitosis,Microtubule stabiliser
S100A8,AZD8055,1244,0.03882949614100358,0.17110225463782905,PI3K/MTOR signaling,"MTORC1, MTORC2"
PITX1,5-Fluorouracil,1375,0.036655173823654866,0.1743271012742279,Other,Antimetabolite (DNA & RNA)
KRT6A,AT-7519,658,0.052913196269012634,0.17520339284753417,Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9"
KRT6A,Mitomycin-C,645,-0.05340268953556628,0.1755462915385627,DNA replication,DNA crosslinker
S100A8,AZ20,673,0.051720723365952286,0.18019514949466375,Genome integrity,ATR
S100A9,Rapamycin,921,0.04398316440140192,0.18232418530669028,PI3K/MTOR signaling,MTORC1
CDKN2A,AT-7519,658,-0.05189029492775002,0.18370636099272236,Cell cycle,"CDK1, CDK2, CDK4, CDK6, CDK9"
PITX1,MK-1775,705,0.04959046683975122,0.18844582163389045,Cell cycle,"WEE1, PLK1"
S100A8,Idelalisib,671,0.050568031019189906,0.1907741937537931,PI3K/MTOR signaling,PI3Kdelta
S100A9,Apitolisib,665,0.050763717965186195,0.1910584318660763,PI3K/MTOR signaling,"mTOR, PI3K"
CDKN2A,Docetaxel,1893,0.02951449078920814,0.19929379454108512,Mitosis,Microtubule stabiliser
KRT5,VE821,691,0.04887003508092917,0.19946349210218955,Genome integrity,ATR
S100A9,Bleomycin,1179,0.037201984775536684,0.20178750870413842,DNA replication,dsDNA break induction
CDKN2A,MK-2206,1347,0.03421279703612389,0.20952866330654965,PI3K/MTOR signaling,"AKT1, AKT2"
PITX1,Capivasertib,672,-0.04840515952894643,0.21013156968266464,PI3K/MTOR signaling,AKT
